SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2017
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2018
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2018
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2018
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2018
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2018
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2019
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2019
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2019
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2019
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2019
